id;Nombre del empleado;Puesto de trabajo;Teléfono celular;Teléfono laboral;Correo electrónico;Area de trabajo;Departamento;Idioma;Número de Cuenta Bancaria;Distancia casa-trabajo;Estado civil;Nivel de certificado;Escuela;País;No identificación;Género;País de nacimiento;Número de hijos;Tipo de empleado;ID de credencial
REF0020;Cecilio Hurdis;Food Chemist;(196) 5281442;(568) 7999077;churdisj@lulu.com;Legal;Administration / Legal;Español;RO96 VZUR HAQB KS8O MTT1 CMVM;369;Casado (a);Doctor;Universidad Panamericana;Guatemala;10-325-5325;Male;Guatemala;0;Empleado;27-8859302
REF0021;Clem Tickle;Human Resources Manager;(168) 4925646;(950) 3895310;cticklek@jimdo.com;Support;Administration / Human Resources / Support;Español;GI36 NXZM LAPM EUVB JPGP EL0;646;Casado (a);Licenciado;Universidad Rafael Landívar;Guatemala;79-306-1733;Male;Guatemala;2;Aprendiz;60-7339226
REF0022;Kaela Reignould;Database Administrator II;(632) 7482647;(760) 2397613;kreignouldl@wix.com;Research and Development;Administration / Research and Development;Español;VG66 XCXE 9976 1380 0799 7927;103;Divorciado;Doctor;Universidad Mariano Gálvez;Guatemala;25-239-9226;Female;Guatemala;5;Autónomo;13-8132658
REF0023;Rolland Hanstock;Quality Control Specialist;(434) 7893647;(733) 3301096;rhanstockm@wsj.com;Legal;Administration / Legal;Español;BA32 6927 1072 2176 6753;857;Viudo(a);Licenciado;Centro Universitario Ciudad Vieja;Guatemala;05-942-8573;Male;Guatemala;0;Aprendiz;59-3343072
REF0024;Lion Knowller;Analog Circuit Design manager;(568) 3480716;(160) 1762074;lknowllern@skyrock.com;Sales;Administration / Sales;Español;LV67 LDIK FBND V7YQ TR8Z T;819;Divorciado;Licenciado;Universidad del Istmo;Guatemala;72-185-0644;Male;Guatemala;5;Aprendiz;98-5826127
REF0025;Murdoch Riccioppo;Internal Auditor;(285) 1810821;(684) 7275440;mriccioppoo@youku.com;Support;Administration / Human Resources / Support;Español;AD57 0928 0190 8RRC WM9H POOS;66;Divorciado;Licenciado;Centro Universitario Ciudad Vieja;Guatemala;44-518-0019;Male;Guatemala;5;Empleado;49-6891655
REF0026;Nikolas McGifford;Safety Technician II;(995) 1407367;(514) 2487714;nmcgiffordp@csmonitor.com;Training;Administration / Human Resources / Training;Español;SK74 5268 1399 9235 4340 3576;721;Viudo(a);Licenciado;Centro Universitario Ciudad Vieja;Guatemala;86-670-3690;Male;Guatemala;5;Autónomo;59-8661373
REF0027;Franklyn Rhelton;Quality Engineer;(484) 9965409;(640) 3504432;frheltonq@sciencedirect.com;Marketing;Administration / Marketing;Español;FR90 2761 9568 08CC QPW8 UHJ5 W11;994;Viudo(a);Licenciado;Centro Universitario de Occidente;Guatemala;28-854-3068;Male;Guatemala;5;Contratista;15-8273439
REF0028;Claybourne Fearnall;Web Developer I;(612) 7674838;(137) 2712758;cfearnallr@bloomberg.com;Services;Administration / Human Resources / Services;Español;NO35 7193 2095 798;360;Casado (a);Doctor;Universidad Galileo;Guatemala;64-803-4246;Male;Guatemala;5;Estudiante;85-9015513
REF0029;Norman Bonnier;Occupational Therapist;(176) 3005504;(153) 3954726;nbonniers@businesswire.com;Human Resources;Administration / Human Resources;Español;CY24 8760 5649 XP6N LWXZ DDSR FCVZ;223;Divorciado;Doctor;Universidad del Valle de Guatemala;Guatemala;14-702-7241;Male;Guatemala;0;Empleado;83-2035774
REF0030;Raymond Stenett;Quality Control Specialist;(213) 2093674;(177) 5467351;rstenettt@hibu.com;Research and Development;Administration / Research and Development;Español;FR73 3485 2044 15T5 DHMV H1KF J94;490;Divorciado;Licenciado;Universidad Mariano Gálvez;Guatemala;17-592-5920;Male;Guatemala;4;Autónomo;25-4866648
REF0031;Gabe Leport;Information Systems Manager;(123) 1173392;(875) 8340662;gleportu@hhs.gov;Training;Administration / Human Resources / Training;Español;MD06 F7PL IVF5 SHJ6 19TS DOLC;115;Divorciado;Licenciado;Universidad de San Carlos de Guatemala;Guatemala;12-961-4387;Male;Guatemala;5;Aprendiz;88-9866265
REF0032;Geri Timmons;Programmer IV;(538) 9525558;(835) 5617799;gtimmonsv@yahoo.com;Services;Administration / Human Resources / Services;Español;LT61 1693 4692 7200 6971;305;Soltero(a);Maestro;Universidad Rural de Guatemala;Guatemala;93-716-9304;Male;Guatemala;5;Empleado;41-5368127
REF0033;Mortie Parades;Senior Quality Engineer;(485) 1552539;(367) 9972925;mparadesw@twitpic.com;Engineering;Administration / Research and Development / Engineering;Español;KZ57 634S OIBF TXO5 2LAA;185;Soltero(a);Maestro;Universidad Francisco Marroquín;Guatemala;70-795-2051;Male;Guatemala;5;Autónomo;27-3209332
REF0034;Marta Yorston;Desktop Support Technician;(939) 6687481;(707) 3324070;myorstonx@artisteer.com;Services;Administration / Human Resources / Services;Español;HR60 8403 2294 7846 7278 1;307;Viudo(a);Doctor;Universidad Mariano Gálvez;Guatemala;01-597-7111;Female;Guatemala;4;Autónomo;05-6513268
REF0035;Polly Mapstone;Marketing Assistant;(253) 5328115;(815) 3682263;pmapstoney@arstechnica.com;Sales;Administration / Sales;Español;LI48 3729 8GJP HVP3 DJCM Z;980;Divorciado;Licenciado;Centro Universitario de Occidente;Guatemala;40-507-5528;Female;Guatemala;2;Autónomo;37-8412919
REF0036;Trace Caddan;Product Engineer;(712) 2487454;(225) 6426602;tcaddanz@amazon.co.jp;Legal;Administration / Legal;Español;FR49 8906 4620 35Y7 QWLL AOZF B40;533;Casado (a);Maestro;Universidad Galileo;Guatemala;17-270-3099;Male;Guatemala;1;Contratista;98-9607355
REF0037;Germana Blasdale;Civil Engineer;(470) 1066099;(651) 5437791;gblasdale10@freewebs.com;Support;Administration / Human Resources / Support;Español;FR07 8328 8566 78AY EH2H DVCN 455;142;Casado (a);Maestro;Universidad Francisco Marroquín;Guatemala;49-262-0205;Female;Guatemala;2;Empleado;21-9447028
REF0038;Adelle Areles;Account Representative II;(326) 2854497;(327) 7674409;aareles11@ow.ly;Sales;Administration / Sales;Español;VG67 IBWK 3518 9968 4721 9194;730;Casado (a);Doctor;Universidad Mariano Gálvez;Guatemala;97-846-2951;Female;Guatemala;5;Estudiante;09-7184986
REF0039;Drusilla Tunney;Research Assistant III;(419) 8356394;(296) 5705862;dtunney12@ebay.com;Accounting;Administration / Legal / Accounting;Español;KZ16 9690 MALB 2ZXD OQO9;179;Soltero(a);Licenciado;Centro Universitario Ciudad Vieja;Guatemala;86-323-5222;Female;Guatemala;2;Aprendiz;88-8043945
REF0040;Ivory Dalyell;Software Test Engineer II;(181) 5957062;(231) 8341695;idalyell13@uol.com.br;Services;Administration / Human Resources / Services;Español;SA23 99XI IOT4 DV8Z W2MR JCDY;415;Soltero(a);Maestro;Universidad Mariano Gálvez;Guatemala;78-588-1027;Female;Guatemala;1;Empleado;77-2617597
REF0041;Brianne Zimmer;Database Administrator IV;(713) 9437469;(661) 4909571;bzimmer14@live.com;Marketing;Administration / Marketing;Español;CZ34 3417 9608 1145 5020 2697;62;Divorciado;Licenciado;Universidad Francisco Marroquín;Guatemala;45-357-4894;Female;Guatemala;1;Autónomo;50-8089870
REF0042;Muhammad Sleney;Senior Quality Engineer;(123) 2650658;(960) 8371592;msleney15@1688.com;Business Development;Administration / Research and Development / Business Development;Español;AL76 1356 2239 ABJV 7NI6 CDQC OZET;432;Divorciado;Doctor;Universidad Rural de Guatemala;Guatemala;67-005-8524;Male;Guatemala;1;Contratista;94-4266774
REF0043;Effie Sisselot;Mechanical Systems Engineer;(965) 3794650;(485) 5287411;esisselot16@scribd.com;Training;Administration / Human Resources / Training;Español;DK69 9723 4110 6568 74;788;Viudo(a);Licenciado;Centro Universitario Ciudad Vieja;Guatemala;92-042-7160;Female;Guatemala;0;Aprendiz;90-5516505
REF0044;Dulsea Fearby;Administrative Assistant II;(760) 9714626;(212) 4586972;dfearby17@imgur.com;Business Development;Administration / Research and Development / Business Development;Español;AL89 5899 7573 RZC5 ZCTR ISAZ XJII;521;Soltero(a);Doctor;Universidad Rural de Guatemala;Guatemala;88-583-2306;Female;Guatemala;0;Autónomo;81-1450865
REF0045;Jorgan Brute;Research Nurse;(215) 1401108;(533) 4163247;jbrute18@desdev.cn;Accounting;Administration / Legal / Accounting;Español;FI91 0620 4510 9275 79;953;Viudo(a);Doctor;Centro Universitario de Occidente;Guatemala;84-102-3068;Male;Guatemala;5;Contratista;43-7487091
REF0046;Brok Fischer;Help Desk Operator;(266) 7071429;(904) 2503172;bfischer19@last.fm;Legal;Administration / Legal;Español;FR67 7722 7310 448I VRKY PDUM U40;609;Divorciado;Doctor;Universidad de San Carlos de Guatemala;Guatemala;09-709-6439;Male;Guatemala;0;Estudiante;72-8264346
REF0047;Marve Crabb;Senior Sales Associate;(927) 7013968;(338) 4857425;mcrabb1a@goo.gl;Human Resources;Administration / Human Resources;Español;BE44 2771 3861 1328;566;Casado (a);Licenciado;Universidad del Valle de Guatemala;Guatemala;09-986-2669;Male;Guatemala;3;Aprendiz;56-0773062
REF0048;Ginnifer Hanfrey;Junior Executive;(548) 7023521;(596) 8087001;ghanfrey1b@geocities.com;Marketing;Administration / Marketing;Español;FR90 8814 2464 41DB ENTQ PSPC P34;736;Soltero(a);Maestro;Universidad del Istmo;Guatemala;69-116-3815;Female;Guatemala;4;Empleado;23-6600314
REF0049;Bogey Sefton;Mechanical Systems Engineer;(973) 8724635;(444) 4298458;bsefton1c@about.me;Training;Administration / Human Resources / Training;Español;FR98 2740 1205 22US RJWN QW0M 882;671;Divorciado;Doctor;Universidad Francisco Marroquín;Guatemala;33-207-3202;Male;Guatemala;2;Estudiante;04-4215301
REF0050;Biddie Threlfall;Account Executive;(922) 7596895;(216) 4643970;bthrelfall1d@canalblog.com;Services;Administration / Human Resources / Services;Español;FR48 9530 7020 39FM 0UKX GHPB 154;206;Soltero(a);Maestro;Centro Universitario Ciudad Vieja;Guatemala;35-355-4547;Female;Guatemala;1;Empleado;06-8903913
